,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
lcl|NC_002945.4_trna_BQ2027_RS00040_1,49.67033393,-1.117524076,0.365633978,-3.056401057,0.002240114,0.012693979
lcl|NC_002945.4_trna_BQ2027_RS00045_2,42.6430343,0.154783717,0.411048628,0.376558165,0.706501983,0.916797405
lcl|NC_002945.4_trna_BQ2027_RS00130_3,95.25005894,-0.056881196,0.275850466,-0.20620301,0.836632337,0.918935644
lcl|NC_002945.4_trna_BQ2027_RS01685_4,17.97190737,1.047842733,0.434439508,2.411941622,0.015867822,0.067438243
lcl|NC_002945.4_trna_BQ2027_RS02965_5,9.1543644,-0.574531268,0.479472081,-1.198258025,0.230816582,0.420415918
lcl|NC_002945.4_trna_BQ2027_RS03325_6,38.02947165,0.614067011,0.361277434,1.699710398,0.089185412,0.216593145
lcl|NC_002945.4_trna_BQ2027_RS03330_7,82.90057098,0.458450783,0.27515507,1.666154227,0.0956827,0.221809896
lcl|NC_002945.4_trna_BQ2027_RS03355_8,499.4140817,-0.52217388,0.233182969,-2.239331129,0.025134379,0.098604102
lcl|NC_002945.4_trna_BQ2027_RS03990_9,87.47489214,0.860051961,0.304467499,2.824774283,0.004731393,0.024130106
lcl|NC_002945.4_trna_BQ2027_RS04370_10,11.16144836,0.213128257,0.473193111,0.450404396,0.652418876,0.908892085
lcl|NC_002945.4_trna_BQ2027_RS04375_11,74.12053131,1.294305033,0.352114723,3.675804927,0.000237101,0.002225358
lcl|NC_002945.4_trna_BQ2027_RS04380_12,42.18722793,-2.863316411,0.44852957,-6.383785149,1.73E-10,8.81E-09
lcl|NC_002945.4_trna_BQ2027_RS04385_13,33.39658614,-0.138090479,0.389104185,-0.354893328,0.722669507,0.916797405
lcl|NC_002945.4_trna_BQ2027_RS04835_14,17.43085063,-0.223925272,0.445279391,-0.502887123,0.615043635,0.89620644
lcl|NC_002945.4_trna_BQ2027_RS05235_15,54.81102618,-0.100659424,0.322584327,-0.312040654,0.755009628,0.916797405
lcl|NC_002945.4_trna_BQ2027_RS05360_16,23.64433846,0.668404897,0.443100212,1.50847343,0.131433402,0.291439282
lcl|NC_002945.4_trna_BQ2027_RS05550_17,39.00167128,0.103123603,0.364542345,0.282885115,0.777264905,0.918935644
lcl|NC_002945.4_trna_BQ2027_RS06755_18,10.98764906,-0.817355285,0.479028794,-1.706275897,0.087956724,0.216593145
lcl|NC_002945.4_rrna_BQ2027_RS06880_19,105759.9442,-0.613329995,0.342593386,-1.790256382,0.073412705,0.197055155
lcl|NC_002945.4_rrna_BQ2027_RS06885_20,178404.7733,-1.543070277,0.422709774,-3.65042488,0.000261807,0.002225358
lcl|NC_002945.4_rrna_BQ2027_RS06890_21,1303.038207,0.325182736,0.371536413,0.875237862,0.381444496,0.627537719
lcl|NC_002945.4_trna_BQ2027_RS07060_22,8.067882757,-0.951752378,0.501002553,-1.899695664,0.05747307,0.195408437
lcl|NC_002945.4_trna_BQ2027_RS08425_23,6.376579039,-0.988029845,0.544635306,-1.814112737,0.069660371,0.197055155
lcl|NC_002945.4_trna_BQ2027_RS08910_24,12.98596732,0.196020067,0.444739703,0.440752345,0.659392297,0.908892085
lcl|NC_002945.4_trna_BQ2027_RS11020_25,12.66253597,-0.571138341,0.45977549,-1.242211369,0.214158586,0.404521774
lcl|NC_002945.4_ncrna_BQ2027_RS11465_26,437461.468,1.110590798,0.336808901,3.29739147,0.000975874,0.007109938
