target_id	length	eff_length	est_counts	tpm
lcl|NC_002945.4_trna_BQ2027_RS00040_1	74	17.1667	40	202.32
lcl|NC_002945.4_trna_BQ2027_RS00045_2	73	16.8696	67	344.854
lcl|NC_002945.4_trna_BQ2027_RS00130_3	83	14.6863	88	520.279
lcl|NC_002945.4_trna_BQ2027_RS01685_4	71	16.2857	20	106.632
lcl|NC_002945.4_trna_BQ2027_RS02965_5	84	14.8704	7	40.8734
lcl|NC_002945.4_trna_BQ2027_RS03325_6	73	16.8696	55	283.089
lcl|NC_002945.4_trna_BQ2027_RS03330_7	74	17.1667	141	713.178
lcl|NC_002945.4_trna_BQ2027_RS03355_8	73	16.8696	426	2192.66
lcl|NC_002945.4_trna_BQ2027_RS03990_9	72	15.8696	108	590.913
lcl|NC_002945.4_trna_BQ2027_RS04370_10	73	16.8696	22	113.236
lcl|NC_002945.4_trna_BQ2027_RS04375_11	74	17.1667	117	591.786
lcl|NC_002945.4_trna_BQ2027_RS04380_12	77	17.0345	5	25.4863
lcl|NC_002945.4_trna_BQ2027_RS04385_13	77	17.0345	30	152.918
lcl|NC_002945.4_trna_BQ2027_RS04835_14	73	16.8696	16	82.3533
lcl|NC_002945.4_trna_BQ2027_RS05235_15	76	16.6071	71	371.217
lcl|NC_002945.4_trna_BQ2027_RS05360_16	72	15.8696	43	235.271
lcl|NC_002945.4_trna_BQ2027_RS05550_17	74	17.1667	50	252.9
lcl|NC_002945.4_trna_BQ2027_RS06755_18	73	16.8696	7	36.0296
lcl|NC_002945.4_rrna_BQ2027_RS06880_19	1532	1335.07	86633	5634.37
lcl|NC_002945.4_rrna_BQ2027_RS06885_20	3138	2941.07	102858	3036.67
lcl|NC_002945.4_rrna_BQ2027_RS06890_21	113	13.7196	1024	6480.75
lcl|NC_002945.4_trna_BQ2027_RS07060_22	84	14.8704	5	29.1953
lcl|NC_002945.4_trna_BQ2027_RS08425_23	77	17.0345	7	35.6808
lcl|NC_002945.4_trna_BQ2027_RS08910_24	74	17.1667	16	80.928
lcl|NC_002945.4_trna_BQ2027_RS11020_25	86	13.4783	12	77.3058
lcl|NC_002945.4_ncrna_BQ2027_RS11465_26	429	232.093	579067	216637
lcl|NC_002945.4_trna_BQ2027_RS11530_27	72	15.8696	40	218.857
lcl|NC_002945.4_trna_BQ2027_RS11900_28	74	17.1667	40	202.32
lcl|NC_002945.4_trna_BQ2027_RS12085_29	73	16.8696	17	87.5004
lcl|NC_002945.4_trna_BQ2027_RS12690_30	77	17.0345	64	326.224
lcl|NC_002945.4_trna_BQ2027_RS12695_31	71	16.2857	30	159.948
lcl|NC_002945.4_trna_BQ2027_RS12810_32	74	17.1667	7	35.406
lcl|NC_002945.4_trna_BQ2027_RS12950_33	76	16.6071	31	162.081
lcl|NC_002945.4_trna_BQ2027_RS12990_34	73	16.8696	30	154.412
lcl|NC_002945.4_trna_BQ2027_RS13660_35	72	15.8696	101	552.613
lcl|NC_002945.4_trna_BQ2027_RS13665_36	73	16.8696	13	66.9121
lcl|NC_002945.4_trna_BQ2027_RS13670_37	74	17.1667	7	35.406
lcl|NC_002945.4_trna_BQ2027_RS13675_38	75	17.48	16	79.4774
lcl|NC_002945.4_trna_BQ2027_RS15390_39	73	16.8696	8	41.1767
lcl|NC_002945.4_trna_BQ2027_RS15395_40	72	15.8696	21	114.9
lcl|NC_002945.4_trna_BQ2027_RS15800_41	73	16.8696	45	231.619
lcl|NC_002945.4_tmrna_BQ2027_RS15965_42	368	172.391	1.49988e+06	755453
lcl|NC_002945.4_trna_BQ2027_RS16430_43	77	17.0345	17	86.6533
lcl|NC_002945.4_trna_BQ2027_RS18685_44	76	16.6071	10	52.2841
lcl|NC_002945.4_trna_BQ2027_RS18900_45	74	17.1667	75	379.35
lcl|NC_002945.4_ncrna_BQ2027_RS19110_46	95	12.5597	135	933.293
lcl|NC_002945.4_trna_BQ2027_RS19115_47	89	12.1837	106	755.427
lcl|NC_002945.4_trna_BQ2027_RS19255_48	90	11.8545	21	153.815
lcl|NC_002945.4_trna_BQ2027_RS19365_49	73	16.8696	13	66.9121
lcl|NC_002945.4_trna_BQ2027_RS19370_50	89	12.1837	67	477.487
lcl|NC_002945.4_trna_BQ2027_RS19400_51	87	13.0779	46	305.411
