target_id	length	eff_length	est_counts	tpm
lcl|NC_002945.4_trna_BQ2027_RS00040_1	74	12.7143	82	705.591
lcl|NC_002945.4_trna_BQ2027_RS00045_2	73	13.6667	49	392.252
lcl|NC_002945.4_trna_BQ2027_RS00130_3	83	12.6	138	1198.23
lcl|NC_002945.4_trna_BQ2027_RS01685_4	71	17.75	25	154.089
lcl|NC_002945.4_trna_BQ2027_RS02965_5	84	12.1176	16	144.455
lcl|NC_002945.4_trna_BQ2027_RS03325_6	73	13.6667	47	376.241
lcl|NC_002945.4_trna_BQ2027_RS03330_7	74	12.7143	105	903.501
lcl|NC_002945.4_trna_BQ2027_RS03355_8	73	13.6667	823	6588.23
lcl|NC_002945.4_trna_BQ2027_RS03990_9	72	15.2	93	669.377
lcl|NC_002945.4_trna_BQ2027_RS04370_10	73	13.6667	25	200.128
lcl|NC_002945.4_trna_BQ2027_RS04375_11	74	12.7143	47	404.424
lcl|NC_002945.4_trna_BQ2027_RS04380_12	77	12.6667	92	794.615
lcl|NC_002945.4_trna_BQ2027_RS04385_13	77	12.6667	63	544.139
lcl|NC_002945.4_trna_BQ2027_RS04835_14	73	13.6667	39	312.2
lcl|NC_002945.4_trna_BQ2027_RS05235_15	76	13.125	114	950.248
lcl|NC_002945.4_trna_BQ2027_RS05360_16	72	15.2	24	172.742
lcl|NC_002945.4_trna_BQ2027_RS05550_17	74	12.7143	68	585.124
lcl|NC_002945.4_trna_BQ2027_RS06755_18	73	13.6667	29	232.149
lcl|NC_002945.4_rrna_BQ2027_RS06880_19	1532	1320.24	189338	15689.8
lcl|NC_002945.4_rrna_BQ2027_RS06885_20	3138	2926.24	503305	18817.1
lcl|NC_002945.4_rrna_BQ2027_RS06890_21	113	11.6975	1170	10942.7
lcl|NC_002945.4_trna_BQ2027_RS07060_22	84	12.1176	23	207.654
lcl|NC_002945.4_trna_BQ2027_RS08425_23	77	12.6667	10	86.3712
lcl|NC_002945.4_trna_BQ2027_RS08910_24	74	12.7143	23	197.91
lcl|NC_002945.4_trna_BQ2027_RS11020_25	86	11.1818	30	293.522
lcl|NC_002945.4_ncrna_BQ2027_RS11465_26	429	217.828	316000	158710
lcl|NC_002945.4_trna_BQ2027_RS11530_27	72	15.2	39	280.706
lcl|NC_002945.4_trna_BQ2027_RS11900_28	74	12.7143	46	395.819
lcl|NC_002945.4_trna_BQ2027_RS12085_29	73	13.6667	28	224.144
lcl|NC_002945.4_trna_BQ2027_RS12690_30	77	12.6667	91	785.978
lcl|NC_002945.4_trna_BQ2027_RS12695_31	71	17.75	37	228.052
lcl|NC_002945.4_trna_BQ2027_RS12810_32	74	12.7143	12	103.257
lcl|NC_002945.4_trna_BQ2027_RS12950_33	76	13.125	23	191.717
lcl|NC_002945.4_trna_BQ2027_RS12990_34	73	13.6667	50	400.257
lcl|NC_002945.4_trna_BQ2027_RS13660_35	72	15.2	99	712.562
lcl|NC_002945.4_trna_BQ2027_RS13665_36	73	13.6667	57	456.293
lcl|NC_002945.4_trna_BQ2027_RS13670_37	74	12.7143	9	77.4429
lcl|NC_002945.4_trna_BQ2027_RS13675_38	75	12.125	30	270.689
lcl|NC_002945.4_trna_BQ2027_RS15390_39	73	13.6667	29	232.149
lcl|NC_002945.4_trna_BQ2027_RS15395_40	72	15.2	21	151.15
lcl|NC_002945.4_trna_BQ2027_RS15800_41	73	13.6667	59	472.303
lcl|NC_002945.4_tmrna_BQ2027_RS15965_42	368	158.605	1.11403e+06	768444
lcl|NC_002945.4_trna_BQ2027_RS16430_43	77	12.6667	80	690.97
lcl|NC_002945.4_trna_BQ2027_RS18685_44	76	13.125	19	158.375
lcl|NC_002945.4_trna_BQ2027_RS18900_45	74	12.7143	186	1600.49
lcl|NC_002945.4_ncrna_BQ2027_RS19110_46	95	9.77778	152	1700.73
lcl|NC_002945.4_trna_BQ2027_RS19115_47	89	10.8	64	648.317
lcl|NC_002945.4_trna_BQ2027_RS19255_48	90	10.5294	42	436.392
lcl|NC_002945.4_trna_BQ2027_RS19365_49	73	13.6667	18	144.092
lcl|NC_002945.4_trna_BQ2027_RS19370_50	89	10.8	35	354.548
lcl|NC_002945.4_trna_BQ2027_RS19400_51	87	12.1818	63	565.796
